3764
21704	22647	5150
28273	30178	6094
0	125	0
461	705	126
0	197	0
1660	1786	198
5561	5712	325
0	291	0
0	1212	0
0	162	0
1363	1482	163
7323	7674	283
0	138	0
2059	2418	139
0	42	0
8129	8278	43
11844	11965	193
13101	13222	315
28240	28373	437
29045	29207	571
30213	30334	734
32874	33232	856
0	355	0
52380	52521	356
65900	66040	498
0	141	0
15491	15628	142
23607	23748	280
24004	24120	422
34701	35105	539
0	339	0
4545	4686	340
18065	18205	482
0	377	0
673	814	378
1070	1186	520
14193	14249	637
0	141	0
13520	13526	142
0	116	0
3219	3254	117
16099	16149	153
19656	19713	204
28397	28459	262
44685	44708	325
48388	48423	349
67263	67323	385
0	128	0
3287	5441	129
7011	7110	2284
0	140	0
643	750	141
1047	1182	249
13747	13891	385
15302	15419	530
0	372	0
2306	2352	373
24179	24272	420
27992	28107	514
0	372	0
2306	2352	373
24179	24272	420
25130	29899	514
0	169	0
2103	2149	170
23976	24069	217
25148	25718	311
0	824	0
7403	7462	825
8157	8312	885
19358	19506	1041
20877	20956	1190
23882	23994	1270
25344	25562	1383
34381	34496	1602
34767	35018	1718
35180	35318	1970
36926	37078	2109
38294	38398	2262
55961	56167	2367
57275	57411	2574
59253	59386	2711
69837	69924	2845
72352	72694	2933
74240	74335	3276
75418	75629	3372
76788	77028	3584
77375	77524	3825
78295	78415	3975
84972	85102	4096
85291	85569	4227
89176	89301	4506
90268	90393	4632
91801	91970	4758
108948	109056	4928
109441	109587	5037
110404	110550	5184
111599	111821	5331
114893	115113	5554
117189	117379	5775
132457	132630	5966
136680	136821	6140
138633	139383	6282
139779	139902	7033
141009	141234	7157
141833	141962	7383
145102	145287	7513
145702	145922	7699
146008	146096	7920
155109	155265	8009
155402	155614	8166
156335	156430	8379
158048	159608	8475
0	15	0
7348	7503	16
18549	19163	172
0	107	0
11153	11301	108
12672	12751	257
15677	15789	337
17139	17357	450
26176	26291	669
26562	26813	785
26975	27113	1037
28721	28873	1176
30089	30193	1329
47756	47962	1434
49070	49206	1641
51048	51181	1778
61632	61719	1912
64147	64489	2000
66035	66130	2343
67213	67424	2439
68583	68823	2651
69170	69319	2892
70090	70210	3042
76767	76897	3163
77086	77364	3294
80971	81096	3573
82063	82188	3699
83596	83765	3825
100743	100851	3995
101236	101382	4104
102199	102345	4251
103394	103616	4398
106688	106908	4621
108984	109174	4842
124252	124425	5033
128475	128616	5207
130428	131178	5349
131574	131697	6100
132789	133029	6224
133628	133757	6465
136897	137082	6595
137497	137717	6781
137803	137891	7002
146904	147060	7091
147197	147409	7248
148130	148225	7461
149843	151403	7557
0	743	0
1089	1857	744
0	108	0
9295	9451	109
9588	9800	266
10521	10616	479
12234	12567	575
0	848	0
2466	4026	849
0	306	0
827	873	307
3429	3486	354
5252	5299	412
7731	7860	460
8619	8774	590
8855	8954	746
9610	9745	846
10456	10541	982
10776	10874	1068
10959	11119	1167
11522	11666	1328
11775	11919	1473
12153	12334	1618
12409	12526	1800
12799	12952	1918
13295	13434	2072
13935	14431	2212
0	296	0
740	863	297
3419	3476	421
5242	5289	479
7721	7850	527
8609	8764	657
8845	8944	813
9600	9735	913
0	150	0
2706	2763	151
4529	4576	209
7008	7137	257
7896	8051	387
8132	8231	543
8887	9022	643
9733	9818	779
10053	10151	865
10236	10396	964
10799	10943	1125
11052	11196	1270
11430	11611	1415
11686	11803	1597
12076	12229	1715
12572	12711	1869
13212	15647	2009
0	132	0
2688	2745	133
4511	4847	191
0	77	0
1799	1856	78
3622	3669	136
6101	6230	184
6989	7144	314
7225	7324	470
7980	8115	570
8826	8911	706
0	422	0
1078	1161	423
0	99	0
755	890	100
1601	1936	236
0	54	0
710	845	55
1556	1641	191
1876	2219	277
0	278	0
387	531	279
765	857	424
0	162	0
5037	5121	163
15455	15498	248
15724	15758	292
15860	15907	327
16123	16142	375
17510	17613	395
17935	18017	499
0	554	0
10785	12015	555
0	93	0
6025	6185	94
6905	8283	255
0	196	0
1621	2276	197
0	555	0
0	1503	0
2638	2808	1504
11899	12025	1675
49328	49469	1802
50578	50765	1944
54498	54612	2132
57020	57168	2247
57659	57733	2396
57807	57871	2471
75176	75381	2536
76222	76327	2742
77842	77971	2848
87184	87956	2978
106407	106454	3751
106624	107019	3799
107544	107639	4195
109498	109590	4291
111388	111607	4384
112051	112149	4604
117888	118014	4703
120877	120970	4830
145480	145514	4924
148539	148593	4959
162614	162734	5014
166356	166414	5135
200638	200687	5194
221742	221850	5244
230875	230938	5353
231135	232291	5417
0	1503	0
2638	2808	1504
11899	12025	1675
49328	49469	1802
50578	50765	1944
54498	54612	2132
57020	57168	2247
57659	57733	2396
57807	57871	2471
75176	75381	2536
76222	76327	2742
77842	77971	2848
87184	87956	2978
106624	107019	3751
107544	107639	4147
109498	109590	4243
110085	110174	4336
110709	110843	4426
111388	111607	4561
117888	118014	4781
120877	120970	4908
145480	145514	5002
148539	148593	5037
162614	162734	5092
166356	166414	5213
200638	200687	5272
221742	221850	5322
230875	230938	5431
231135	232291	5495
0	1503	0
2638	2808	1504
11899	12025	1675
49328	49469	1802
50578	50765	1944
54498	54612	2132
57020	57168	2247
57659	57733	2396
57807	57871	2471
75176	75381	2536
76222	76327	2742
77842	77971	2848
87184	87956	2978
106624	107019	3751
107544	107639	4147
109498	109590	4243
110709	110843	4336
111388	111607	4471
112051	112149	4691
117888	118014	4790
120877	120970	4917
145480	145514	5011
148539	148593	5046
162614	162734	5101
166356	166414	5222
200638	200687	5281
221742	221850	5331
230875	230938	5440
231135	232291	5504
0	1503	0
11899	12025	1504
49328	49469	1631
50578	50765	1773
54498	54612	1961
57020	57168	2076
57659	57733	2225
57807	57871	2300
75176	75381	2365
76222	76327	2571
77842	77971	2677
87184	87956	2807
106624	107019	3580
107544	107639	3976
109498	109590	4072
110709	110843	4165
111388	111607	4300
112051	112149	4520
117888	118014	4619
120877	120970	4746
145480	145514	4840
148539	148593	4875
162614	162734	4930
166356	166414	5051
200638	200687	5110
221742	221850	5160
230875	230938	5269
231135	232291	5333
